Tweet ID,text,attachments,author_id,context_annotations,conversation_id,created_at,entities,geo,in_reply_to_user_id,lang,referenced_tweets,followers_count,verified,entities_hashtags,retweet_count,reply_count,like_count,quote_count,total_engagements
593926641748946945,RT @TheRaDR: Who Gives A Crap About Bruce Jenner's Pronouns? http://t.co/RF7WvDgOeO @sbearbergman commits more acts of Being Smart In Publi…,,382013356,,593926641748946945,2015-04-30 23:55:20+00:00,"{'urls': [{'start': 61, 'end': 83, 'url': 'http://t.co/RF7WvDgOeO', 'expanded_url': 'http://m.huffpost.com/us/entry/7172620', 'display_url': 'm.huffpost.com/us/entry/71726…'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'TheRaDR', 'id': '61802282'}, {'start': 84, 'end': 97, 'username': 'sbearbergman', 'id': '16702757'}], 'annotations': [{'start': 36, 'end': 47, 'probability': 0.9968, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,[<ReferencedTweet id=593915481788162048 type=retweeted],311,False,,2,0,0,0,2
593926520843931648,RT @AubreyMarcus: Really girly picture of my brother @joerogan on the newsstand. Right next to Bruce Jenner crossdressing for contrast http…,,362774138,,593926520843931648,2015-04-30 23:54:51+00:00,"{'mentions': [{'start': 3, 'end': 16, 'username': 'AubreyMarcus', 'id': '105196298'}, {'start': 53, 'end': 62, 'username': 'joerogan', 'id': '18208354'}], 'annotations': [{'start': 95, 'end': 106, 'probability': 0.997, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,[<ReferencedTweet id=593925181136969728 type=retweeted],75,False,,41,0,0,0,41
593926416821067776,East Germany Demands Bruce Jenner Forfeit Olympic Gold Medals http://t.co/boNHSYOSRc,,563334150,,593926416821067776,2015-04-30 23:54:27+00:00,"{'urls': [{'start': 62, 'end': 84, 'url': 'http://t.co/boNHSYOSRc', 'expanded_url': 'http://dailycurrant.com/2015/04/26/east-germany-demands-bruce-jenner-forfeit-olympic-gold-medals/', 'display_url': 'dailycurrant.com/2015/04/26/eas…'}], 'annotations': [{'start': 0, 'end': 11, 'probability': 0.5218, 'type': 'Place', 'normalized_text': 'East Germany'}, {'start': 21, 'end': 32, 'probability': 0.987, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,,50,False,,0,0,0,0,0
593926312349282304,RT @Ax_about_me: Why is Bruce Jenner getting all this attention??? Mr.Garrison did this same thing and no one said a word.,,478302611,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10029016738', 'name': 'Amici di Maria de Filippi'}}]",593926312349282304,2015-04-30 23:54:02+00:00,"{'mentions': [{'start': 3, 'end': 15, 'username': 'Ax_about_me', 'id': '436246205'}], 'annotations': [{'start': 24, 'end': 35, 'probability': 0.9983, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}, {'start': 67, 'end': 77, 'probability': 0.9634, 'type': 'Person', 'normalized_text': 'Mr.Garrison'}]}",,,en,[<ReferencedTweet id=593925121049505792 type=retweeted],286,False,,5,0,0,0,5
593926158640652288,How is Bruce Jenner a inspiration there are many transgenders in the world but He is the only inspiration ?? Utter bullshit,,2207935129,,593926158640652288,2015-04-30 23:53:25+00:00,"{'annotations': [{'start': 7, 'end': 18, 'probability': 0.9965, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,,554,False,,0,0,0,0,0
593925999299006464,"RT @AdderAllStar: A one-step guide to telling the world your awesome Bruce Jenner joke:
1) don't",,3024206687,,593925999299006464,2015-04-30 23:52:47+00:00,"{'mentions': [{'start': 3, 'end': 16, 'username': 'AdderAllStar', 'id': '43260136'}], 'annotations': [{'start': 69, 'end': 80, 'probability': 0.9976, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,[<ReferencedTweet id=591808209595174913 type=retweeted],6,False,,216,0,0,0,216
593925862673743872,Aww I feel bad for Bruce Jenner 😕,,300488966,,593925862673743872,2015-04-30 23:52:14+00:00,"{'annotations': [{'start': 19, 'end': 30, 'probability': 0.9972, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,,810,False,,0,0,0,0,0
593925807967371264,Bruce Jenner and the 'trans narrative': it's time for a little bit of Transgender 201 http://t.co/TWjNFhriTb,,56740930,,593925807967371264,2015-04-30 23:52:01+00:00,"{'urls': [{'start': 86, 'end': 108, 'url': 'http://t.co/TWjNFhriTb', 'expanded_url': 'http://gu.com/p/48xd4', 'display_url': 'gu.com/p/48xd4'}], 'annotations': [{'start': 0, 'end': 11, 'probability': 0.9977, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,,633,False,,0,0,0,0,0
593925787415224320,RT @dinahjane97: Bruce Jenner you are beautiful 😌 proud of your honesty &amp; commend you for being brave  enough to speak your truth ..,,2929107397,,593925787415224320,2015-04-30 23:51:56+00:00,"{'mentions': [{'start': 3, 'end': 15, 'username': 'dinahjane97', 'id': '259435698'}], 'annotations': [{'start': 17, 'end': 28, 'probability': 0.9982, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,[<ReferencedTweet id=591848522476957697 type=retweeted],107,False,,7318,0,0,0,7318
593925756666912769,Happy to be on Denver's Best Gay Blog MileHghGayGuy! Enjoy Bearacuda everybody!... http://t.co/Lgp22yVpY5,,93460388,,593925756666912769,2015-04-30 23:51:49+00:00,"{'urls': [{'start': 83, 'end': 105, 'url': 'http://t.co/Lgp22yVpY5', 'expanded_url': 'http://fb.me/1XsRhuiw0', 'display_url': 'fb.me/1XsRhuiw0'}], 'annotations': [{'start': 15, 'end': 20, 'probability': 0.9179, 'type': 'Place', 'normalized_text': 'Denver'}]}",,,en,,674,False,,0,0,0,0,0
